time,src_ip,dst_ip,protocol,packet_size,src_port,dst_port
10:35:21,192.168.1.5,8.8.8.8,TCP,512,52341,80
10:35:22,192.168.1.10,142.250.190.46,TCP,1024,49200,443
10:35:23,192.168.1.5,8.8.8.8,UDP,64,54321,53
10:35:24,10.0.0.2,192.168.1.1,ICMP,84,0,0
10:35:25,192.168.1.15,216.58.214.46,TCP,768,50100,80
10:35:26,192.168.1.20,1.1.1.1,UDP,128,55000,53
10:35:27,172.16.0.5,192.168.1.1,TCP,256,48000,22
10:35:28,192.168.1.5,151.101.1.140,TCP,512,52400,443
10:35:29,10.0.0.3,8.8.4.4,UDP,64,56000,53
10:35:30,192.168.1.30,172.217.14.196,ICMP,84,0,0
10:35:31,192.168.1.10,52.86.73.27,TCP,1460,49300,443
10:35:32,192.168.1.5,8.8.8.8,UDP,128,57000,53
10:35:33,10.0.0.4,192.168.1.1,TCP,512,48100,21
10:35:34,192.168.1.15,104.26.10.234,TCP,1024,50200,80
10:35:35,172.16.0.6,8.8.8.8,UDP,64,58000,53
10:35:36,192.168.1.20,13.32.99.185,TCP,256,51000,443
10:35:37,192.168.1.5,192.168.1.1,ICMP,84,0,0
10:35:38,10.0.0.2,142.250.80.46,TCP,768,49400,80
10:35:39,192.168.1.10,1.1.1.1,UDP,64,59000,53
10:35:40,192.168.1.30,54.239.28.85,TCP,512,52500,443
10:35:41,172.16.0.5,8.8.8.8,UDP,128,60000,53
10:35:42,192.168.1.5,151.101.65.140,TCP,1024,52600,80
10:35:43,10.0.0.3,192.168.1.1,ICMP,84,0,0
10:35:44,192.168.1.15,172.217.3.110,TCP,512,50300,443
10:35:45,192.168.1.20,8.8.8.8,UDP,64,61000,53
10:35:46,192.168.1.10,104.18.32.7,TCP,1460,49500,80
10:35:47,10.0.0.4,1.1.1.1,UDP,128,62000,53
10:35:48,192.168.1.5,52.94.236.248,TCP,256,52700,443
10:35:49,172.16.0.6,192.168.1.1,ICMP,84,0,0
10:35:50,192.168.1.30,151.101.193.140,TCP,768,53000,80
10:35:51,192.168.1.5,8.8.8.8,UDP,64,63000,53
10:35:52,10.0.0.2,172.217.14.100,TCP,512,49600,443
10:35:53,192.168.1.15,8.8.4.4,UDP,128,50400,53
10:35:54,192.168.1.20,142.250.190.78,TCP,1024,51100,80
10:35:55,172.16.0.5,192.168.1.1,ICMP,84,0,0
10:35:56,192.168.1.10,54.230.7.184,TCP,512,49700,443
10:35:57,10.0.0.3,8.8.8.8,UDP,64,57500,53
10:35:58,192.168.1.5,104.244.42.193,TCP,256,52800,443
10:35:59,192.168.1.30,1.1.1.1,UDP,128,53100,53
10:36:00,10.0.0.4,172.217.3.142,TCP,768,48200,80
10:36:01,192.168.1.5,8.8.8.8,TCP,512,52900,80
10:36:02,192.168.1.15,13.226.29.132,TCP,1460,50500,443
10:36:03,172.16.0.6,8.8.4.4,UDP,64,59500,53
10:36:04,192.168.1.20,192.168.1.1,ICMP,84,0,0
10:36:05,10.0.0.2,52.85.83.228,TCP,512,49800,443
10:36:06,192.168.1.10,8.8.8.8,UDP,128,49900,53
10:36:07,192.168.1.5,151.101.129.140,TCP,1024,53000,80
10:36:08,172.16.0.5,142.250.80.100,TCP,256,48300,443
10:36:09,10.0.0.3,1.1.1.1,UDP,64,58500,53
10:36:10,192.168.1.30,104.16.249.249,TCP,768,53200,80
